timestamp,cmd_v,cmd_w
1739998156702391600,1.0,0.0
1739998156733192487,0.0,0.0
1739998156733218748,1.0,0.0
1739998156764133153,0.0,0.0
1739998156764163608,1.0,0.0
1739998156798026822,0.0,0.0
1739998156798052869,1.0,0.0
1739998156829507672,0.0,0.0
1739998156829544693,1.0,0.0
1739998156862653111,0.0,0.0
1739998156862698057,1.0,0.0
1739998156893771257,0.0,0.0
1739998156893816855,1.0,0.0
1739998156919195589,0.0,0.0
1739998156919226191,1.0,0.0
1739998156951196600,0.0,0.0
1739998156951233122,1.0,0.0
1739998156986257122,0.0,0.0
1739998156986309436,1.0,0.0
1739998157010707840,0.0,0.0
1739998157010738327,1.0,0.0
1739998157042131654,0.0,0.0
1739998157042172213,1.0,0.0
1739998157074766226,0.0,0.0
1739998157074813560,1.0,0.0
1739998157109625855,0.0,0.0
1739998157109690651,1.0,0.0
1739998157132456403,0.0,0.0
1739998157132486568,1.0,0.0
1739998157162181400,0.0,0.0
1739998157162212162,1.0,0.0
1739998157196626643,0.0,0.0
1739998157196657689,1.0,0.0
1739998157222944121,0.0,0.0
1739998157222980440,1.0,0.0
1739998157253542325,0.0,0.0
1739998157253586312,1.0,0.0
1739998157294978974,0.0,0.0
1739998157295025517,1.0,0.0
1739998157325314432,0.0,0.0
1739998157325342784,1.0,0.0
1739998157344038752,0.0,0.0
1739998157344068652,1.0,0.0
1739998157377687793,0.0,0.0
1739998157377718146,1.0,0.0
1739998157405919325,0.0,0.0
1739998157405966842,1.0,0.0
1739998157435421960,0.0,0.0
1739998157435454894,1.0,0.0
1739998157466783440,0.0,0.0
1739998157466821410,1.0,0.0
1739998157496434667,0.0,0.0
1739998157496495449,1.0,0.0
1739998157533722464,0.0,0.0
1739998157533763072,1.0,0.0
1739998157557443248,0.0,0.0
1739998157557483868,1.0,0.0
1739998157588115591,0.0,0.0
1739998157588155237,1.0,0.0
1739998157619653380,0.0,0.0
1739998157619681826,1.0,0.0
1739998157648800453,0.0,0.0
1739998157648849846,1.0,0.0
1739998157680135447,0.0,0.0
1739998157680184107,1.0,0.0
1739998157709903249,0.0,0.0
1739998157709932193,1.0,0.0
1739998157741418091,0.0,0.0
1739998157741458687,1.0,0.0
1739998157772658600,0.0,0.0
1739998157772710540,1.0,0.0
1739998157805306759,0.0,0.0
1739998157805341288,1.0,0.0
1739998157830651120,0.0,0.0
1739998157830677925,1.0,0.0
1739998157867323572,0.0,0.0
1739998157867355652,1.0,0.0
1739998157890905804,0.0,0.0
1739998157890940204,1.0,0.0
1739998157922154462,0.0,0.0
1739998157922183800,1.0,0.0
1739998157955008545,0.0,0.0
1739998157955052257,1.0,0.0
1739998157983127053,0.0,0.0
1739998157983162023,1.0,0.0
1739998158015761036,0.0,0.0
